Name, Min(ns), Max(ns), Avg(ns), p75(ns), p95(ns), p99(ns), p995(ns)
Add 16x16 (WebGPU F32),undefined,undefined,3458640,undefined,undefined,undefined
Add 32x32 (Func),undefined,undefined,5100,undefined,undefined,undefined
Add 32x32 (Loop),undefined,undefined,9850,undefined,undefined,undefined
Add 32x32 (Loop Prealloc),undefined,undefined,3435,undefined,undefined,undefined
Add 32x32 (Unrolled),undefined,undefined,53680,undefined,undefined,undefined
Add 32x32 (Unrolled Dynamic),undefined,undefined,60415,undefined,undefined,undefined
Add 32x32 (Flat),undefined,undefined,2265,undefined,undefined,undefined
Add 32x32 (Flat column Major),undefined,undefined,2595,undefined,undefined,undefined
Add 32x32 (Flat Simple),undefined,undefined,1380,undefined,undefined,undefined
Add 32x32 (Flat Func),undefined,undefined,3895,undefined,undefined,undefined
Add 32x32 (Flat Unrolled),undefined,undefined,52300,undefined,undefined,undefined
Add 32x32 (F64),undefined,undefined,6305,undefined,undefined,undefined
Add 32x32 (F32),undefined,undefined,5055,undefined,undefined,undefined
Add 32x32 (I32),undefined,undefined,4285,undefined,undefined,undefined
Add 32x32 (F64 Flat),undefined,undefined,5615,undefined,undefined,undefined
Add 32x32 (F32 Flat),undefined,undefined,4850,undefined,undefined,undefined
Add 32x32 (I32 Flat),undefined,undefined,4170,undefined,undefined,undefined
Add 32x32 (WASM F64),undefined,undefined,6085,undefined,undefined,undefined
Add 32x32 (WASM SIMD F64),undefined,undefined,5900,undefined,undefined,undefined
Add 32x32 (WASM SIMD F32),undefined,undefined,4980,undefined,undefined,undefined
Add 32x32 (WASM SIMD I32),undefined,undefined,5860,undefined,undefined,undefined
Add 32x32 (WebGL F32),undefined,undefined,589780,undefined,undefined,undefined
Add 32x32 (WebGPU F32),undefined,undefined,3439995,undefined,undefined,undefined
Add 64x64 (Func),undefined,undefined,21085,undefined,undefined,undefined
Add 64x64 (Loop),undefined,undefined,42670,undefined,undefined,undefined
Add 64x64 (Loop Prealloc),undefined,undefined,11170,undefined,undefined,undefined
Add 64x64 (Unrolled),undefined,undefined,234625,undefined,undefined,undefined
Add 64x64 (Unrolled Dynamic),undefined,undefined,236005,undefined,undefined,undefined
Add 64x64 (Flat),undefined,undefined,8285,undefined,undefined,undefined
Add 64x64 (Flat column Major),undefined,undefined,10405,undefined,undefined,undefined
Add 64x64 (Flat Simple),undefined,undefined,5090,undefined,undefined,undefined
